COUNTRY,CONTI-NENT,CODE,UNIVERSITY/ORGANIZATION,FORMER/ OTHER NAMES,ABBRE-VIATION,FACULTY/ DEPARTMENT,SIGNING,EXPIRY,"EXPIRY
CHECK",LEVEL OF COOPERATION,TYPE OF COOPERATION,NOTE,UPDATED
ARGENTINA,America,AR001-2000A231,Centro Latinoamericano de Fisica,,CLAF,,22-Feb-2000,unlimited,1,Faculty of Science,General Cooperation,,9-Sep-15
ARGENTINA,America,AR002-2000A001,National University of La Plata,,UNLP,,28-Dec-2000,auto renew,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU001-2010A001,"Adelaide, University of",,,,30-Aug-2010,29-Aug-2015,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU001-2017A001,"Adelaide, University of",,,,3-Mar-2017,2-Mar-2022,,University,General Cooperation,,18-Apr-17
AUSTRALIA,Oceania,AU002-1998A001,Australian National University,,,,25-Jun-1998,24-Jun-2003,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU002-2011A361,Australian National University,,,"Research Centre for Nursing and Midwifery Practice, ACT Health",18-May-2011,17-May-2016,0,Faculty of Nursing,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU003-1995B251,"Canberra, University of",,,,13-Nov-1995,1-Jan-2001,0,Faculty of Architecture,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU003-1996A001,"Canberra, University of",,,,5-Apr-1996,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU003-2001B001,"Canberra, University of",,,,3-May-2001,30-Nov-2005,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU003-2009B001,"Canberra, University of",,,,26-May-2009,25-May-2012,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU003-2013B001,"Canberra, University of",,,,16-Mar-2013,15-Mar-2016,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU003-2015B251,"Canberra, University of",,,,25-Feb-2015,24-Feb-2018,0,Faculty of Architecture,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU003-2015A001,"Canberra, University of",,,,6-Aug-2015,5-Aug-2018,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU003-2017B001,"Canberra, University of",,,,20-Jan-2017,15-Mar-2021,1,University,Student Exchange,,30-Jan-17
AUSTRALIA,Oceania,AU004-2001A371,Commonwealth Scientific and Industrial Research Organisation,,CSIRO,,12-Jul-2001,11-Jul-2004,0,Faculty of Allied Health Sciences,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU004-2003O001,Commonwealth Scientific and Industrial Research Organisation,,CSIRO,,15-Jan-2003,14-Jan-2013,0,University,Others: Confidentiality Agreement,,9-Sep-15
AUSTRALIA,Oceania,AU004-2003F001,Commonwealth Scientific and Industrial Research Organisation,,CSIRO,,1-Aug-2003,1-Aug-2006,0,University,Research Collaboration / Joint Research,,9-Sep-15
AUSTRALIA,Oceania,AU004-2006F001,Commonwealth Scientific and Industrial Research Organisation,,CSIRO,,2-Aug-2006,1-Aug-2009,0,University,Research Collaboration / Joint Research,,9-Sep-15
AUSTRALIA,Oceania,AU005-1998A741,Cooperative Research Centre for Waste Management and Pollution Control Limited,,,,7-Aug-1998,6-Aug-2003,0,Environmental Research Institute,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU006-1993A211,Curtin University,Curtin University of Technology,,,3-Dec-1993,unlimited,1,Faculty of Engineering,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU006-1994A001,Curtin University,Curtin University of Technology,,,3-May-1994,2-May-1999,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU006-1999A231,Curtin University,Curtin University of Technology,,,9-Nov-1999,unlimited,1,Faculty of Science,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU006-2000A001,Curtin University,Curtin University of Technology,,,16-May-2000,15-May-2005,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU006-2001B001,Curtin University,Curtin University of Technology,,,1-May-2001,30-Apr-2006,0,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU006-2005A001,Curtin University,Curtin University of Technology,,,4-Jul-2005,3-Jul-2010,0,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,,Curtin University,Curtin University of Technology,,,14-Feb-2019,13-Feb-2024,1,Faculty of Engineering,General Cooperation,,5-Mar-19
AUSTRALIA,Oceania,AU025-2016B261,Deakin University,,,,13-May-2016,12-May-2021,1,Faculty of Commerce and Accountancy,Student Exchange,,23-May-16
AUSTRALIA,Oceania,AU025-2016A001,Deakin University,,,,11-Aug-2016,10-Aug-2021,1,University,General Cooperation,,30-Aug-16
AUSTRALIA,Oceania,AU007-1992F361,Flinders University,,,,25-Aug-1992,unlimited,1,Faculty of Nursing,Research Collaboration / Joint Research,,9-Sep-15
AUSTRALIA,Oceania,AU008-1989A001,Griffith University,,,,18-Oct-1989,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU008-1996E001,Griffith University,,,,9-Jul-1996,8-Jul-1999,0,University,Collaboration on Program Development,,9-Sep-15
AUSTRALIA,Oceania,AU008-2000E001,Griffith University,,,,16-Oct-2000,15-Oct-2003,0,University,Collaboration on Program Development,,9-Sep-15
AUSTRALIA,Oceania,AU008-2002A001,Griffith University,,,,11-Dec-2002,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU008-2002B001,Griffith University,,,,11-Dec-2002,unlimited,1,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU008-2006B001,Griffith University,,,,20-Jul-2006,unlimited,1,University,Student Exchange,,9-Sep-15
AUSTRALIA,Oceania,AU009-1991A001,La Trobe University,,,,3-Jul-1991,unlimited,1,University,General Cooperation,,9-Sep-15
AUSTRALIA,Oceania,AU009-2009B001,La Trobe University,,,,15-Dec-2009,14-Dec-2014,0,University,Student Exchange,,9-Sep-15
